ISIN;nom;ticker;Secteur
FR0000120073;Air Liquide;AI.PA;Chemicals
NL0000235190;Airbus;AIR.PA;Aerospace & Defence
FR0010220475;Alstom;ALO.PA;Industrial Metals
LU1598757687;Arcelor Mittal;MT.PA;Industrial Metals
FR0000120628;Axa;CS.PA;Life Insurance
FR0000131104;Bnp Paribas;BNP.PA;Banks
FR0000120503;Bouygues;EN.PA;General Industrials
FR0000125338;CapGemini;CAP.PA;Software & Computer Services
FR0000120172;Carrefour;CA.PA;Consumers Goods
FR0000045072;Credit Agricole;ACA.PA;Banks
FR0000120644;Danone;BN.PA;Consumers Goods
FR0014003TT8;Dassault Systemes;DSY.PA;Software & Computer Services
FR0010208488;Engie;ENGI.PA;Energy
FR0000121667;EssilorLuxottica;EL.PA;Health Care Equipment & Services
FR0014000MR3;Eurofins Scient.;ERF.PA;Health Care Equipment & Services
FR0000052292;Hermes;RMS.PA;Leisure Goods
FR0000121485;Kering;KER.PA;Leisure Goods
FR0010307819;Legrand SA;LR.PA;Leisure Goods
FR0000120321;L'oreal;OR.PA;Leisure Goods
FR0000121014;LVMH;MC.PA;Leisure Goods
FR0000121261;Michelin;ML.PA;Automobiles & Parts
FR0000133308;Orange;ORA.PA;Telecom
FR0000120693;Pernod Ricard;RI.PA;Consumers Goods
FR0000130577;Publicis Groupe;PUB.PA;Media
FR0000131906;Renault;RNO.PA;Automobiles & Parts
FR0000073272;Safran;SAF.PA;Aerospace & Defence
FR0000125007;Saint Gobain;SGO.PA;General Industrials
FR0000120578;Sanofi;SAN.PA;Pharmaceuticals & Biotechnology
FR0000121972;Schneider Electric;SU.PA;Energy
FR0000130809;Societe Generale;GLE.PA;Banks
NL00150001Q9;Stellantis;STLA.PA;Automobiles & Parts
NL0000226223;Stmicroelectronics;STM.PA;Electronic & Electrical Equipment
FR0000051807;Teleperformance;TEP.PA;Software & Computer Services
FR0000121329;Thales;HO.PA;Aerospace & Defence
FR0000120271;TotalEnergies;TTE.PA;Energy
FR0013326246;Unibail Rodamco Wes;URW.PA;Real Estate
FR0000124141;Veolia Environ.;VIE.PA;Energy
FR0000125486;Vinci;DG.PA;General Industrials
FR0000127771;Vivendi;VIV.PA;Consumers Goods
FR0011981968;Worldline;WLN.PA;Software & Computer Services
